step,loss,validation_loss,edit_distance
0,11.25973129272461,,
0,11.931397438049316,,
0,14.021824836730957,,
0,13.045598030090332,,
1,11.383196830749512,,
1,12.84237003326416,,
1,12.258893966674805,,
1,12.293374061584473,,
2,12.202877044677734,,
2,11.533247947692871,,
2,12.73109245300293,,
2,12.610501289367676,,
3,12.548741340637207,,
3,12.793564796447754,,
3,11.407740592956543,,
3,12.208134651184082,,
4,12.293532371520996,,
4,13.369732856750488,,
4,11.54297161102295,,
4,11.78681468963623,,
5,12.391910552978516,,
5,12.010419845581055,,
5,12.255315780639648,,
5,12.208972930908203,,
6,12.216978073120117,,
6,11.20736312866211,,
6,12.559865951538086,,
6,12.533844947814941,,
7,14.12524127960205,,
7,13.165410995483398,,
7,12.168208122253418,,
7,12.656693458557129,,
8,12.341242790222168,,
8,12.47770881652832,,
8,11.633767127990723,,
8,14.109964370727539,,
9,12.180566787719727,,
9,12.902207374572754,,
9,12.478866577148438,,
9,11.576149940490723,,
10,12.517796516418457,,
10,12.578994750976562,,
10,11.651874542236328,,
10,12.670631408691406,,
11,12.748764038085938,,
11,12.273218154907227,,
11,12.196659088134766,,
11,12.281414985656738,,
12,12.359100341796875,,
12,12.377312660217285,,
12,12.988959312438965,,
12,13.122206687927246,,
13,12.882801055908203,,
13,12.54427433013916,,
13,13.389412879943848,,
13,14.140850067138672,,
14,12.419856071472168,,
14,11.277751922607422,,
14,13.007535934448242,,
14,11.604092597961426,,
15,12.631749153137207,,
15,13.963370323181152,,
15,12.627900123596191,,
15,12.840322494506836,,
16,11.414545059204102,,
16,21.0897159576416,,
16,12.26125431060791,,
16,13.350485801696777,,
17,13.091493606567383,,
17,12.59326171875,,
17,12.247608184814453,,
17,12.158522605895996,,
18,12.406538963317871,,
18,12.473308563232422,,
18,13.15233039855957,,
18,11.944437026977539,,
19,12.072586059570312,,
19,11.245589256286621,,
19,12.6921968460083,,
19,12.815754890441895,,
20,11.880674362182617,,
20,12.278200149536133,,
20,13.384188652038574,,
20,11.658295631408691,,
21,12.478399276733398,,
21,12.703672409057617,,
21,15.138351440429688,,
21,12.122819900512695,,
22,12.246315956115723,,
22,12.810075759887695,,
22,12.752789497375488,,
22,11.326327323913574,,
23,12.521498680114746,,
23,12.297983169555664,,
23,12.057686805725098,,
23,11.451815605163574,,
24,11.971766471862793,,
24,13.42910099029541,,
24,13.8978271484375,,
24,11.788619995117188,,
25,12.592026710510254,,
25,11.552409172058105,,
25,12.0883207321167,,
25,13.229703903198242,,
26,12.134346961975098,,
26,11.636517524719238,,
26,12.18220329284668,,
26,10.825148582458496,,
27,12.54572582244873,,
27,12.042160987854004,,
27,12.064282417297363,,
27,11.04521369934082,,
28,11.857623100280762,,
28,13.254162788391113,,
28,11.392741203308105,,
28,12.71593952178955,,
29,11.799029350280762,,
29,10.630823135375977,,
29,11.427490234375,,
29,13.304939270019531,,
30,12.187528610229492,,
30,12.401008605957031,,
30,11.349859237670898,,
30,12.414153099060059,,
31,11.825560569763184,,
31,12.361790657043457,,
31,12.292939186096191,,
31,12.203198432922363,,
32,11.874107360839844,,
32,14.09090805053711,,
32,12.49005126953125,,
32,12.268331527709961,,
33,10.957308769226074,,
33,12.012758255004883,,
33,9.88310718536377,,
33,11.417787551879883,,
34,11.771037101745605,,
34,11.650988578796387,,
34,12.467711448669434,,
34,12.978353500366211,,
35,11.973292350769043,,
35,12.52314281463623,,
35,12.816597938537598,,
35,11.239923477172852,,
36,10.611124992370605,,
36,11.182798385620117,,
36,12.729310035705566,,
36,12.381003379821777,,
37,12.098989486694336,,
37,12.49433422088623,,
37,12.368708610534668,,
37,11.234698295593262,,
38,10.373747825622559,,
38,11.158044815063477,,
38,13.231080055236816,,
38,11.84583568572998,,
39,11.926610946655273,,
39,12.480020523071289,,
39,11.739779472351074,,
39,12.124090194702148,,
40,11.935283660888672,,
40,10.916328430175781,,
40,12.58359432220459,,
40,12.16854190826416,,
41,11.806315422058105,,
41,11.009662628173828,,
41,12.55070972442627,,
41,11.309518814086914,,
42,12.517657279968262,,
42,12.195740699768066,,
42,11.511842727661133,,
42,12.838650703430176,,
43,11.068235397338867,,
43,12.182690620422363,,
43,11.428389549255371,,
43,10.8674898147583,,
44,11.382946968078613,,
44,11.290151596069336,,
44,11.128433227539062,,
44,11.301639556884766,,
45,11.203267097473145,,
45,11.550704956054688,,
45,12.076553344726562,,
45,12.562707901000977,,
46,12.001397132873535,,
46,10.27808952331543,,
46,11.969867706298828,,
46,12.038312911987305,,
47,12.264678955078125,,
47,12.183246612548828,,
47,11.885517120361328,,
47,12.055789947509766,,
48,11.565224647521973,,
48,11.896878242492676,,
48,11.445639610290527,,
48,11.381274223327637,,
49,11.046579360961914,,
49,10.306610107421875,,
49,10.749174118041992,,
49,11.829118728637695,,
50,10.739285469055176,,
50,11.420069694519043,,
50,12.25959587097168,,
50,9.940138816833496,,
51,9.647757530212402,,
51,10.787531852722168,,
51,11.27182674407959,,
51,12.127678871154785,,
52,12.143586158752441,,
52,10.599276542663574,,
52,11.056685447692871,,
52,13.40905475616455,,
53,10.831180572509766,,
53,12.297715187072754,,
53,12.241324424743652,,
53,11.240057945251465,,
54,11.101455688476562,,
54,11.715118408203125,,
54,11.666004180908203,,
54,11.433834075927734,,
55,11.31065845489502,,
55,11.01795768737793,,
55,11.460359573364258,,
55,8.931249618530273,,
56,11.447564125061035,,
56,11.283844947814941,,
56,10.61567211151123,,
56,11.246516227722168,,
57,11.20527172088623,,
57,10.996488571166992,,
57,13.496591567993164,,
57,10.84450626373291,,
58,10.961076736450195,,
58,10.346627235412598,,
58,13.225318908691406,,
58,11.8663969039917,,
59,11.03091812133789,,
59,13.214921951293945,,
59,11.617201805114746,,
59,11.221369743347168,,
60,11.99038314819336,,
60,11.630253791809082,,
60,9.052842140197754,,
60,9.899023056030273,,
61,12.525514602661133,,
61,7.760400772094727,,
61,10.498740196228027,,
