Wall time,Step,Value
1727501144.4863992,4,13.758700370788574
1727501163.2111742,12,12.441200256347656
1727501172.669412,16,12.597200393676758
1727501182.2107842,20,11.795999526977539
1727501191.5319467,24,11.867600440979004
1727501210.3364384,32,12.543000221252441
1727501228.8862612,40,11.682000160217285
1727501238.2446146,44,11.125
1727501247.4887273,48,11.115400314331055
1727501266.1987545,56,11.305500030517578
1727501275.4885335,60,10.990699768066406
1727501284.7234428,64,11.56980037689209
1727501293.95111,68,10.953900337219238
1727501303.2105036,72,10.326499938964844
1727501312.4427638,76,10.798399925231934
1727501321.6482038,80,10.77929973602295
1727501330.9298778,84,10.101200103759766
1727501340.1441653,88,10.363699913024902
1727501349.3600397,92,10.277899742126465
1727501358.6240737,96,10.379400253295898
1727501376.9636705,104,10.23449993133545
1727501386.2208092,108,9.94789981842041
1727501395.4222608,112,9.84689998626709
1727501404.638034,116,9.761099815368652
1727501413.86297,120,10.052000045776367
1727501423.100801,124,9.583600044250488
1727501432.3188016,128,9.822799682617188
1727501441.5349543,132,9.497300148010254
1727501450.815514,136,9.429400444030762
1727501460.029012,140,9.02340030670166
1727501469.3765922,144,9.033599853515625
1727501478.6350436,148,9.157699584960938
1727501487.8587754,152,9.340700149536133
1727501497.091558,156,9.41510009765625
1727501506.351798,160,9.113100051879883
1727501515.5303388,164,8.550299644470215
1727501533.9291935,172,8.930800437927246
1727501543.1409426,176,8.39490032196045
1727501570.8688672,188,8.438300132751465
1727501580.0589504,192,8.204500198364258
1727501589.2877917,196,8.07040023803711
1727501598.5517309,200,8.1225004196167
1727501607.7475667,204,8.138500213623047
1727501616.9387662,208,7.754199981689453
1727501626.21438,212,8.395899772644043
1727501635.4364774,216,8.268099784851074
1727501644.6335752,220,7.912499904632568
1727501653.8439405,224,7.901800155639648
1727501672.3411644,232,8.229000091552734
1727501681.5560088,236,7.5395002365112305
1727501700.3858206,244,7.193900108337402
1727501709.3449984,248,7.60830020904541
1727501718.2935407,252,7.788899898529053
1727501727.2417288,256,7.461900234222412
1727501745.1349595,264,7.490300178527832
1727501754.058728,268,7.717800140380859
1727501763.0479245,272,7.796999931335449
1727501772.0067344,276,7.44890022277832
1727501780.9426725,280,7.183800220489502
1727501789.8587036,284,7.395599842071533
1727501798.8180773,288,7.307600021362305
1727501807.7656803,292,7.183800220489502
1727501816.6958275,296,7.526500225067139
1727501825.7607448,300,7.396699905395508
1727501834.755876,304,7.149700164794922
1727501843.6857603,308,7.3730998039245605
1727501852.5762532,312,7.604599952697754
1727501861.5328205,316,7.294899940490723
1727501870.4565275,320,7.526000022888184
1727501879.3605995,324,7.1819000244140625
1727501888.270945,328,7.1778998374938965
1727501897.225663,332,7.217899799346924
1727501906.1220443,336,7.286399841308594
1727501914.9970016,340,7.09089994430542
1727501923.917555,344,7.1118998527526855
1727501932.7817917,348,7.144999980926514
1727501941.6872869,352,7.480000019073486
1727501950.581754,356,7.28849983215332
1727501959.4729064,360,6.926700115203857
1727501968.3740132,364,7.332200050354004
1727501986.2310195,372,6.960999965667725
1727501995.1035376,376,7.046299934387207
1727502004.0102177,380,7.1269001960754395
1727502012.9584951,384,7.4415998458862305
1727502021.8688505,388,7.1402997970581055
1727502039.7425225,396,7.395199775695801
1727502048.674541,400,7.366199970245361
1727502057.5471435,404,7.3942999839782715
1727502066.4586635,408,7.573999881744385
1727502084.3443825,416,7.267300128936768
1727502093.230215,420,7.292900085449219
1727502102.1116517,424,7.211699962615967
1727502110.971143,428,7.01230001449585
1727502119.985753,432,6.979400157928467
1727502128.8976486,436,7.120100021362305
1727502137.8241115,440,7.005099773406982
1727502146.7285542,444,6.801499843597412
1727502155.6459908,448,6.866099834442139
1727502164.5439262,452,7.012199878692627
1727502182.3212698,460,6.8105998039245605
1727502191.207465,464,7.140399932861328
