step,loss,validation_loss
0,14.1680269241333,
1,14.907851219177246,
2,15.808391571044922,
3,15.127462387084961,
4,15.131426811218262,
5,14.338399887084961,
6,14.97986125946045,
7,15.717225074768066,
8,15.0189847946167,
9,15.63155460357666,
10,15.304397583007812,
11,14.850031852722168,
12,15.694642066955566,
13,15.256189346313477,
14,15.027581214904785,
15,15.108291625976562,
16,14.59960651397705,
17,14.659627914428711,
18,15.995687484741211,
19,15.138014793395996,
20,14.894939422607422,
21,15.262296676635742,
22,14.77953815460205,
23,14.45853328704834,
24,15.193546295166016,
25,15.01402473449707,
26,15.376238822937012,
27,15.123370170593262,
28,15.025794982910156,
29,14.537995338439941,
30,15.308310508728027,
31,14.102296829223633,
32,14.833521842956543,
33,14.67860221862793,
34,15.389487266540527,
35,15.230602264404297,
36,14.590201377868652,
37,14.204778671264648,
38,15.014961242675781,
39,13.685062408447266,
40,14.806119918823242,
41,15.13493537902832,
42,14.581297874450684,
43,15.235506057739258,
44,14.831277847290039,
45,14.844344139099121,
46,13.654816627502441,
47,14.709122657775879,
48,15.010346412658691,
49,14.37954330444336,
50,14.711267471313477,
51,15.029967308044434,
52,14.74321460723877,
53,14.523724555969238,
54,15.130853652954102,
55,14.347750663757324,
56,13.68612289428711,
57,14.407828330993652,
58,14.747529983520508,
59,14.521710395812988,
60,14.600386619567871,
61,14.759288787841797,
62,14.498943328857422,
63,14.526679039001465,
64,14.299412727355957,
65,14.207865715026855,
66,14.19143009185791,
67,14.755610466003418,
68,13.662353515625,
69,14.643821716308594,
70,14.185676574707031,
71,14.444884300231934,
72,14.214176177978516,
73,14.386981010437012,
74,14.51278018951416,
75,13.882813453674316,
76,13.78393840789795,
77,14.587276458740234,
78,13.035909652709961,
79,14.236760139465332,
80,13.936567306518555,
81,14.219902038574219,
82,13.917609214782715,
83,14.112653732299805,
84,13.671868324279785,
85,13.58702564239502,
86,13.866867065429688,
87,13.616803169250488,
88,13.517932891845703,
89,13.681577682495117,
90,13.665358543395996,
91,14.100279808044434,
92,13.800741195678711,
93,13.114023208618164,
94,13.155869483947754,
95,14.106689453125,
96,14.062549591064453,
97,14.06815242767334,
98,13.083396911621094,
99,13.95811939239502,
100,13.274001121520996,
101,12.879968643188477,
102,13.448670387268066,
103,12.706811904907227,
104,13.149359703063965,
105,13.301586151123047,
106,13.261061668395996,
107,13.844805717468262,
108,13.551932334899902,
109,12.895392417907715,
110,13.667516708374023,
111,13.437673568725586,
112,13.22447681427002,
113,13.078145980834961,
114,13.105849266052246,
115,12.887689590454102,
116,13.29974365234375,
117,12.513309478759766,
118,12.979314804077148,
119,12.821979522705078,
120,13.354230880737305,
121,12.833614349365234,
122,12.513763427734375,
123,12.840422630310059,
124,12.957292556762695,
125,13.066953659057617,
126,13.238753318786621,
127,13.075481414794922,
128,13.03641414642334,
129,12.996606826782227,
130,13.149430274963379,
131,13.02882194519043,
132,12.618751525878906,
133,12.65949821472168,
134,12.992219924926758,
135,13.055343627929688,
136,12.709362983703613,
137,12.456555366516113,
138,13.142669677734375,
139,12.935049057006836,
140,12.933380126953125,
141,12.734270095825195,
142,12.918537139892578,
143,12.752549171447754,
144,12.865891456604004,
145,13.01953125,
146,12.656627655029297,
147,12.634977340698242,
148,12.426040649414062,
149,12.321609497070312,
150,12.596309661865234,
151,12.852701187133789,
152,12.378493309020996,
153,12.336502075195312,
154,12.639816284179688,
155,12.01706314086914,
156,12.770339965820312,
157,12.689129829406738,
158,12.882067680358887,
159,12.359771728515625,
160,12.962560653686523,
161,12.611589431762695,
